Home Style,DateOfObservation,Half of Year,Rent,Percent Diff %
3 Bd 2 Ba >1600 sqft,2021,1,1795.0,
3 Bd 2 Ba >1600 sqft,2022,1,1995.0,0.11142061281337057
3 Bd 2.5 Ba >1600 sqft,2020,1,1788.3333333333333,
3 Bd 2.5 Ba >1600 sqft,2021,1,1961.6666666666667,0.09692451071761421
3 Bd 2.5 Ba >1600 sqft,2022,1,2230.0,0.13678844519966016
3 Bd 2.5 Ba >1600 sqft,2023,1,2395.0,0.07399103139013463
4 Bd 2.5 Ba >1600 sqft,2020,1,1850.0,
4 Bd 2.5 Ba >1600 sqft,2021,1,1972.5,0.06621621621621632
4 Bd 2.5 Ba >1600 sqft,2022,1,2250.0,0.14068441064638781
4 Bd 2.5 Ba >1600 sqft,2023,1,2450.0,0.0888888888888888
4 Bd 3 Ba >1600 sqft,2020,1,1825.0,
4 Bd 3 Ba >1600 sqft,2021,1,1935.37,0.06047671232876706
4 Bd 3 Ba >1600 sqft,2022,1,2262.5,0.1690271110950361
