Home Style,DateOfObservation,Half of Year,Rent,Percent Diff %
3 Bd 2 Ba >1600 sqft,2019,2,1578.1222222222223,
3 Bd 2 Ba >1600 sqft,2021,2,2020.8333333333333,
3 Bd 2 Ba >1600 sqft,2022,2,2195.0,0.08618556701030933
3 Bd 2.5 Ba >1600 sqft,2019,2,1786.7866666666666,
3 Bd 2.5 Ba >1600 sqft,2021,2,2095.0,
3 Bd 2.5 Ba >1600 sqft,2022,2,2362.4377777777777,0.1276552638557411
4 Bd 2.5 Ba >1600 sqft,2019,2,1825.0,
4 Bd 2.5 Ba >1600 sqft,2020,2,1995.0,0.09315068493150691
4 Bd 2.5 Ba >1600 sqft,2021,2,2180.0,0.09273182957393478
4 Bd 3 Ba >1600 sqft,2019,2,1838.9616666666668,
4 Bd 3 Ba >1600 sqft,2020,2,1850.0,0.00600248147278748
4 Bd 3 Ba >1600 sqft,2022,2,2425.0,
