Home Style,DateOfObservation,Half of Year,Rent,Percent Diff %
3 Bd 2 Ba <1600 sqft,2021,2,1946.25,
3 Bd 2 Ba <1600 sqft,2022,2,2221.8769999999995,0.14161952472703887
3 Bd 2 Ba >1600 sqft,2021,2,2000.0,
3 Bd 2 Ba >1600 sqft,2022,2,2211.86,0.10593000000000008
4 Bd 2 Ba >1600 sqft,2021,2,2227.2633333333333,
4 Bd 2 Ba >1600 sqft,2022,2,2272.45875,0.020291905312797898
4 Bd 2.5 Ba >1600 sqft,2022,2,2422.86,
4 Bd 3 Ba >1600 sqft,2021,2,2346.07,
4 Bd 3 Ba >1600 sqft,2022,2,2635.71,0.12345752684276246
5 Bd 3.5 Ba >1600 sqft,2021,2,2580.0,
